id	category	question	faithfulness	response_relevancy	context_precision	context_recall	latency_seconds	status	notes
5	Skripsi / Skripsi	Bagian utama dalam skripsi itu apa saja?	1.0	0.987	0.8056	1.0	30.031	Complete	Rerun metrics core (Utama: llama-3.3-70b)
9	Seminar Proposal	Yang diuji saat seminar proposal itu apa saja?	1.0	0.9583	0.1667	1.0	25.226	Complete	Rerun metrics core (Utama: llama-3.3-70b)
11	Usul Judul Skripsi	Kenapa judul skripsi harus diusulkan dulu ke Prodi?	1.0	0.5994	1.0	1.0	26.076	Complete	Rerun metrics core (Utama: llama-3.3-70b)
12	Usul Judul Skripsi	Alur pengajuan judul skripsi itu sampai tahap apa saja?	1.0	0.5961	1.0	1.0	27.899	Complete	Rerun metrics core (Utama: llama-3.3-70b)
14	Usul Judul Skripsi	Kalau sinopsis judul skripsi saya ditolak, apa yang harus saya lakukan?	1.0	0.9094	0.8167	1.0	38.727	Complete	Rerun metrics core (Utama: llama-3.3-70b)
17	Yudisium	Kapan mahasiswa bisa ikut yudisium?	1.0	1.0	0.8042	1.0	12.915	Complete	Rerun metrics core (Utama: llama-3.3-70b)
20	KRS	KRS itu gunanya untuk apa?	1.0	0.6597	0.7	1.0	37.181	Complete	Rerun metrics core (Model: deepseek-3.2)
22	KRS	Kalau saya tidak isi KRS modifikasi, apa dampaknya?	0.5	0.8642	0.25	1.0	25.947	Complete	Rerun metrics core (Model: deepseek-3.2)
31	UTS / UAS	UTS itu dilaksanakan kapan dalam perkuliahan?	0.0	0.808	0.0	0.0	24.901	Complete	Rerun metrics core (Model: deepseek-3.2)
33	UTS / UAS	Siapa yang berhak ikut UTS dan UAS?	1.0	0.5406	1.0	1.0	28.318	Complete	Rerun metrics core (Model: deepseek-3.2)
39	Jadwal Perkuliahan	Jadwal kuliah bisa dilihat mahasiswa di mana?	1.0	0.8282	0.8042	1.0	27.443	Complete	Rerun metrics core (Model: deepseek-3.2)
41	Penawaran Mata Kuliah	Penawaran mata kuliah itu maksudnya apa?	1.0	0.1708	0.8333	1.0	23.539	Complete	Rerun metrics core (Model: deepseek-3.2)
43	Penawaran Mata Kuliah	Maksimal dan minimal SKS yang bisa saya ambil dalam satu semester berapa?	0.5	0.966	0.0	0.5	32.031	Complete	Rerun metrics core (Model: deepseek-3.2)
46	Penawaran Mata Kuliah	Kalau nilai mata kuliah saya C atau D, apakah boleh saya programkan ulang?	1.0	0.8599	1.0	1.0	31.851	Complete	Rerun metrics core (Model: deepseek-3.2)
48	Semester Pendek	Semester pendek itu apa?	1.0	0.9237	0.3333	1.0	25.284	Complete	Rerun metrics core (Model: deepseek-3.2)
49	Semester Pendek	Berapa lama pelaksanaan semester pendek?	1.0	1.0	0.8333	1.0	27.072	Complete	Rerun metrics core (Model: deepseek-3.2)
55	Izin Penelitian	Kalau mau mengurus surat izin penelitian, langkah awalnya apa?	0.75	0.8743	0.3333	1.0	24.411	Complete	Rerun metrics core (Model: deepseek-3.2)
59	Bebas Akademik	Surat bebas akademik dibutuhkan untuk apa?	1.0	0.8447	0.2667	1.0	32.069	Complete	Rerun metrics core (Model: deepseek-3.2)
61	Bebas Akademik	Apa dokumen yang dilampirkan saat mengajukan surat bebas akademik?	1.0	0.9718	0.8333	1.0	29.193	Complete	Rerun metrics core (Model: deepseek-3.2)
63	Legalisir	Legalisir ijazah atau transkrip itu maksudnya apa?	1.0	0.8736	1.0	1.0	32.885	Complete	Rerun metrics core (Model: deepseek-3.2)
67	KKN	KKN itu apa dan apakah wajib untuk mahasiswa S1?	1.0	0.334	1.0	1.0	22.975	Complete	Rerun metrics core (Model: deepseek-3.2)
70	KKN	Kalau KKN Tematik, minimal sudah menempuh berapa SKS?	1.0	0.7162		1.0	24.255	Partial	Rerun metrics core (Model: deepseek-3.2)
71	KKN	Berapa lama pelaksanaan KKN?	0.0	1.0	0.0	0.0	22.953	Complete	Rerun metrics core (Model: deepseek-3.2)
72	KKN	Nilai KKN itu berasal dari siapa saja?	0.0	0.9281	0.0	0.0	29.686	Complete	Rerun metrics core (Model: deepseek-3.2)
78	Praktikum	Asisten praktikum itu tugasnya apa?	1.0	0.7842	1.0	1.0	27.222	Complete	Rerun metrics core (Model: deepseek-3.2)
80	Praktikum	Apa saja dokumen kerja yang biasanya ada dalam layanan praktikum?		0.9408	0.0	0.0	28.297	Partial	Rerun metrics core (Model: deepseek-3.2)
81	Penasehat Akademik	Penasehat Akademik itu siapa?	1.0	0.757	0.7556	1.0	30.421	Complete	Rerun metrics core (Model: deepseek-3.2)
93	Perpanjangan Masa Studi	Kalau mau mengajukan perpanjangan masa studi, minimal SKS yang harus sudah terkumpul berapa?	1.0	0.9649	0.3333	1.0	29.173	Complete	Rerun metrics core (Model: deepseek-3.2)
94	Perpanjangan Masa Studi	IPK sementara minimal untuk perpanjangan masa studi berapa?	1.0	0.9604	0.3333	1.0	23.914	Complete	Rerun metrics core (Model: deepseek-3.2)
97	Akreditasi Ilmu Komputer	Akreditasi Prodi Ilmu Komputer UHO sekarang apa?	1.0	0.9118	1.0	1.0	31.953	Complete	Rerun metrics core (Model: deepseek-3.2)
98	Akreditasi Ilmu Komputer	Akreditasi Ilmu Komputer UHO berlaku sampai kapan?	1.0	0.9612	0.8667	1.0	27.291	Complete	Rerun metrics core (Model: deepseek-3.2)
100	Akreditasi Ilmu Komputer	Nilai akreditasi Prodi Ilmu Komputer UHO berapa?	1.0	0.8463	0.25	1.0	31.074	Complete	Rerun metrics core (Model: deepseek-3.2)
