id	category	question	ground_truth	source_document	source_page_or_section	question_type	difficulty	validation_status	validator	notes
1	Skripsi / Tugas Akhir	Sebenarnya panduan penyusunan skripsi FMIPA itu dipakai untuk apa?	Panduan penyusunan skripsi digunakan sebagai pedoman tata cara pelaksanaan dan penyusunan skripsi bagi mahasiswa FMIPA UHO.	03_paduan-penyusunan-skripsi-fmipa.pdf	Kata Pengantar / bagian awal	Descriptive	Easy	Need Review		
2	Skripsi / Tugas Akhir	Di panduan skripsi FMIPA, isi besarnya membahas apa saja?	Panduan penyusunan skripsi memuat panduan pelaksanaan penyusunan skripsi, proposal penelitian, skripsi, tata cara penulisan, dan lampiran.	03_paduan-penyusunan-skripsi-fmipa.pdf	Daftar Isi	Descriptive	Medium	Need Review		
3	Skripsi / Tugas Akhir	Kalau mau mulai skripsi, tahapan awal yang dibahas di panduan itu apa saja?	Tahapan dalam panduan pelaksanaan penyusunan skripsi mencakup pengajuan judul, pembimbing, ujian, dan penilaian skripsi.	03_paduan-penyusunan-skripsi-fmipa.pdf	Daftar Isi / Bab I	Descriptive	Medium	Need Review		
4	Skripsi / Proposal	Proposal penelitian itu biasanya harus berisi bagian apa saja?	Bagian utama proposal penelitian mencakup pendahuluan, tinjauan pustaka, dan metode penelitian.	03_paduan-penyusunan-skripsi-fmipa.pdf	Bab II Proposal Penelitian	Descriptive	Easy	Need Review		
5	Skripsi / Skripsi	Bagian utama dalam skripsi itu apa saja?	Bagian utama skripsi mencakup pendahuluan, tinjauan pustaka, metode penelitian, hasil penelitian dan pembahasan, serta simpulan dan saran.	03_paduan-penyusunan-skripsi-fmipa.pdf	Bab III Skripsi	Descriptive	Medium	Need Review		
6	Seminar Proposal	Seminar proposal itu sebenarnya apa?	Seminar proposal adalah ujian lisan terhadap materi proposal yang dilaksanakan oleh tim penguji dan wajib diikuti mahasiswa program sarjana sebagai evaluasi kelayakan rencana penelitian atau tugas akhir.	sop-layanan-seminar-proposal-1719228750-ptrXr1ANwI.pdf	Bagian 1 Pengertian	Descriptive	Easy	Validated		
7	Seminar Proposal	SOP seminar proposal itu dibuat untuk membantu siapa?	SOP layanan seminar proposal bertujuan menjadi pedoman bagi dosen dan mahasiswa dalam melaksanakan seminar proposal secara luring atau daring serta memahami persyaratan dan tata cara pelaksanaannya.	sop-layanan-seminar-proposal-1719228750-ptrXr1ANwI.pdf	Bagian 2 Tujuan	Descriptive	Medium	Validated		
8	Seminar Proposal	Siapa yang dianggap sebagai peserta seminar proposal?	Peserta seminar adalah mahasiswa pada jurusan atau program studi lingkup Fakultas MIPA yang dinyatakan terdaftar pada semester berjalan.	sop-layanan-seminar-proposal-1719228750-ptrXr1ANwI.pdf	Bagian 4 Definisi Istilah	Factoid	Easy	Validated		
9	Seminar Proposal	Yang diuji saat seminar proposal itu apa saja?	Materi seminar proposal adalah keseluruhan isi proposal dan pengetahuan umum lain yang terkait dengan rencana penelitian yang akan dilaksanakan mahasiswa.	sop-layanan-seminar-proposal-1719228750-ptrXr1ANwI.pdf	Bagian 4 Definisi Istilah	Descriptive	Easy	Validated		
10	Usul Judul Skripsi	Usul judul skripsi itu maksudnya apa?	Pengajuan judul skripsi adalah pelaporan judul penelitian mahasiswa ke Ketua Prodi yang akan dibahas dalam tugas akhir skripsi.	sop-layanan-usul-judul-skripsi-1719025057-Or5ao2pyyh.pdf	Bagian 1 Pengertian	Factoid	Easy	Validated		
11	Usul Judul Skripsi	Kenapa judul skripsi harus diusulkan dulu ke Prodi?	Pengajuan judul skripsi bertujuan mengurangi tumpang tindih judul yang masuk ke Prodi dan mengurangi penggantian judul karena kurangnya referensi.	sop-layanan-usul-judul-skripsi-1719025057-Or5ao2pyyh.pdf	Bagian 2 Tujuan	Descriptive	Medium	Validated		
12	Usul Judul Skripsi	Alur pengajuan judul skripsi itu sampai tahap apa saja?	Ruang lingkup layanan usul judul skripsi mencakup penyerahan sinopsis penelitian ke Ketua Prodi, seleksi oleh Ketua Prodi, serta keputusan diterima atau ditolak.	sop-layanan-usul-judul-skripsi-1719025057-Or5ao2pyyh.pdf	Bagian 3 Ruang Lingkup	Descriptive	Medium	Validated		
13	Usul Judul Skripsi	Sebelum mengajukan judul skripsi, saya harus menghubungi siapa dulu?	Mahasiswa menghubungi Penasehat Akademik untuk pengecekan jumlah SKS yang telah ditempuh dan meminta rekomendasi untuk diizinkan menyusun skripsi.	sop-layanan-usul-judul-skripsi-1719025057-Or5ao2pyyh.pdf	Bagian 4.1 Prosedur	Procedural	Medium	Validated		
14	Usul Judul Skripsi	Kalau sinopsis judul skripsi saya ditolak, apa yang harus saya lakukan?	Mahasiswa harus membuat atau mengajukan sinopsis proposal baru jika sinopsis proposal ditolak oleh pimpinan Prodi, lalu diajukan kembali ke PA dan tim seleksi judul.	sop-layanan-usul-judul-skripsi-1719025057-Or5ao2pyyh.pdf	Bagian 4.5 Prosedur	Procedural	Medium	Validated		
15	Yudisium	Kalau sudah lulus ujian skripsi, yudisium itu apa?	Yudisium adalah penetapan atau pengukuhan mahasiswa menjadi sarjana yang telah dinyatakan lulus ujian skripsi atau telah menyelesaikan studinya beserta kualifikasi kelulusan.	sop-layanan-yudisium-1719228857-36keBt7sTQ.pdf	Bagian 1 Pengertian	Factoid	Easy	Validated		
16	Yudisium	SOP yudisium itu mengatur tentang apa?	SOP layanan yudisium bertujuan memberikan penjelasan tentang persyaratan, prosedur, dan menjaga tertib administrasi yudisium di FMIPA UHO.	sop-layanan-yudisium-1719228857-36keBt7sTQ.pdf	Bagian 2 Tujuan	Descriptive	Easy	Validated		
17	Yudisium	Kapan mahasiswa bisa ikut yudisium?	Yudisium dapat dilaksanakan apabila mahasiswa telah dinyatakan lulus oleh tim penguji ujian akhir skripsi.	sop-layanan-yudisium-1719228857-36keBt7sTQ.pdf	Bagian 5.1.1 Ketentuan Umum	Factoid	Easy	Validated		
18	Yudisium	Setelah dinyatakan lulus ujian skripsi, siapa yang melaksanakan yudisium?	Pelaksanaan yudisium dilakukan langsung oleh ketua tim penguji atau wakil jurusan/program studi setelah mahasiswa dinyatakan lulus ujian skripsi.	sop-layanan-yudisium-1719228857-36keBt7sTQ.pdf	Bagian 5.1.2 Ketentuan Umum	Factoid	Medium	Validated		
19	KRS	KRS itu sebenarnya apa?	KRS adalah Kartu Rencana Studi, yaitu kartu yang didapatkan ketika kuliah dan didaftarkan pada awal semester.	sop-modifikasi-kartu-rencana-studi-krs-1719025333-P4BE0f4P0K.pdf	Bagian 1 Pengertian	Factoid	Easy	Validated		
20	KRS	KRS itu gunanya untuk apa?	KRS bertujuan sebagai rencana pengambilan mata kuliah berdasarkan jurusan yang telah diambil.	sop-modifikasi-kartu-rencana-studi-krs-1719025333-P4BE0f4P0K.pdf	Bagian 2 Tujuan	Factoid	Easy	Validated		
21	KRS	Kalau mau modifikasi KRS, siapa yang harus mengisi?	KRS Online Modifikasi dilakukan sendiri oleh mahasiswa yang bersangkutan dengan bimbingan dosen wali masing-masing.	sop-modifikasi-kartu-rencana-studi-krs-1719025333-P4BE0f4P0K.pdf	Bagian 3.2 Ruang Lingkup	Factoid	Medium	Validated		
22	KRS	Kalau saya tidak isi KRS modifikasi, apa dampaknya?	Jika mahasiswa tidak melakukan KRS Online Modifikasi, maka mahasiswa dianggap tidak memprogram.	sop-modifikasi-kartu-rencana-studi-krs-1719025333-P4BE0f4P0K.pdf	Bagian 3.3 Ruang Lingkup	Factoid	Easy	Validated		
23	Cuti Akademik	Cuti akademik itu maksudnya apa?	Cuti akademik adalah status mahasiswa yang oleh suatu sebab terpaksa berhenti sementara pada kegiatan akademik.	sop-layanan-cuti-akademik-1719018299-DjABx6CIN7.pdf	Bagian 1 Pengertian	Factoid	Easy	Validated		
24	Cuti Akademik	Cuti akademik itu dihitung sebagai masa studi atau tidak?	Layanan cuti akademik menjadi acuan prosedur berhenti sementara dari kegiatan akademik secara resmi dan tidak dihitung sebagai masa studi.	sop-layanan-cuti-akademik-1719018299-DjABx6CIN7.pdf	Bagian 2 Tujuan	Factoid	Medium	Validated		
25	Cuti Akademik	Kalau mau mengurus cuti akademik, prosesnya mencakup apa saja?	Ruang lingkup SOP cuti akademik mencakup pelayanan pengurusan surat usulan cuti akademik dari Dekan kepada Rektor, mulai dari pengajuan permohonan oleh mahasiswa hingga penyerahan surat usulan cuti akademik.	sop-layanan-cuti-akademik-1719018299-DjABx6CIN7.pdf	Bagian 3 Ruang Lingkup	Descriptive	Medium	Validated		
26	Peraturan Akademik	Peraturan akademik UHO itu dipakai sebagai pedoman untuk siapa?	Peraturan akademik adalah panduan atau pedoman bagi tenaga pendidik, tenaga kependidikan, dan mahasiswa UHO dalam melaksanakan kegiatan akademik di lingkungan UHO.	Peraturan-Rektor-Nomor-1-Tahun-2019-Tentang-Peraturan-Akademik-UHO.pdf	Pasal 1 ayat 1	Factoid	Easy	Validated		
27	Peraturan Akademik	Program studi itu didefinisikan sebagai apa dalam peraturan akademik?	Program Studi adalah kesatuan kegiatan pendidikan dan pembelajaran yang memiliki kurikulum dan metode pembelajaran tertentu dalam satu jenis pendidikan akademik, profesi, atau vokasi.	Peraturan-Rektor-Nomor-1-Tahun-2019-Tentang-Peraturan-Akademik-UHO.pdf	Pasal 1 ayat 4	Factoid	Easy	Validated		
28	Peraturan Akademik	Satu semester kuliah itu minimal berapa minggu?	Semester adalah satuan waktu proses pembelajaran efektif selama paling sedikit 16 minggu termasuk UTS dan UAS.	Peraturan-Rektor-Nomor-1-Tahun-2019-Tentang-Peraturan-Akademik-UHO.pdf	Pasal 1 ayat 11	Factoid	Easy	Validated		
29	Peraturan Akademik	Mahasiswa aktif itu yang seperti apa?	Mahasiswa aktif adalah mahasiswa yang terdaftar pada semester tertentu sehingga berhak mengikuti kegiatan akademik serta mendapatkan layanan administratif dan akademik, dibuktikan dengan mengisi KRS secara online.	Peraturan-Rektor-Nomor-1-Tahun-2019-Tentang-Peraturan-Akademik-UHO.pdf	Pasal 1 ayat 16	Factoid	Medium	Validated		
30	Peraturan Akademik	Mahasiswa cuti akademik itu statusnya bagaimana?	Mahasiswa cuti akademik adalah mahasiswa yang tidak terdaftar pada semester tertentu dan mengajukan permohonan cuti melalui Dekan atau Direktur untuk mendapatkan izin dari Rektor.	Peraturan-Rektor-Nomor-1-Tahun-2019-Tentang-Peraturan-Akademik-UHO.pdf	Pasal 1 ayat 21	Factoid	Medium	Validated		
31	UTS / UAS	UTS itu dilaksanakan kapan dalam perkuliahan?	UTS secara daring adalah evaluasi hasil belajar mahasiswa yang diselenggarakan di tengah semester setelah pertemuan ke-7 dari 14 pertemuan yang dijadwalkan.	sop-layanan-uts-dan-uas-1719024904-RoxdfhHTSN.pdf	Bagian 1.1 Pengertian	Factoid	Easy	Validated		
32	UTS / UAS	UAS itu dilakukan setelah apa?	UAS secara daring adalah evaluasi studi akhir semester yang diselenggarakan setelah seluruh materi perkuliahan disajikan, sekurang-kurangnya setelah 12 kali pertemuan.	sop-layanan-uts-dan-uas-1719024904-RoxdfhHTSN.pdf	Bagian 1.2 Pengertian	Factoid	Easy	Validated		
33	UTS / UAS	Siapa yang berhak ikut UTS dan UAS?	Peserta ujian adalah mahasiswa yang melakukan registrasi pada semester berjalan dan berhak mengikuti ujian sesuai ketentuan yang berlaku.	sop-layanan-uts-dan-uas-1719024904-RoxdfhHTSN.pdf	Bagian 1.3 Pengertian	Factoid	Easy	Validated		
34	UTS / UAS	Kalau saya tidak bisa ikut ujian sesuai jadwal, apakah ada ujian susulan?	Ujian susulan diselenggarakan bagi mahasiswa yang tidak dapat mengikuti ujian sesuai jadwal karena suatu halangan yang dapat ditoleransi sesuai ketentuan yang berlaku.	sop-layanan-uts-dan-uas-1719024904-RoxdfhHTSN.pdf	Bagian 1.4 Pengertian	Factoid	Medium	Validated		
35	UTS / UAS	Ujian susulan itu bagaimana cara mengajukannya?	Mahasiswa mengajukan permohonan ujian susulan kepada jurusan dengan melampirkan bukti atau berkas alasan ketidakhadiran dalam ujian.	sop-layanan-uts-dan-uas-1719024904-RoxdfhHTSN.pdf	Bagian 4.3 Pelaksanaan UTS dan UAS Susulan	Procedural	Medium	Validated		
36	UTS / UAS	Siapa yang melaksanakan ujian susulan setelah mahasiswa mengajukan permohonan?	Setelah jurusan bersurat kepada dosen pengampu mata kuliah, dosen pengampu melaksanakan ujian susulan kepada mahasiswa yang bersangkutan secara daring.	sop-layanan-uts-dan-uas-1719024904-RoxdfhHTSN.pdf	Bagian 4.3 Pelaksanaan UTS dan UAS Susulan	Procedural	Medium	Validated		
37	Jadwal Perkuliahan	Jadwal kuliah itu disusun untuk apa?	Penyusunan jadwal kuliah bertujuan agar perkuliahan dapat terlaksana dengan tertib dan lancar serta memungkinkan pendeteksian dini terhadap bentrok waktu perkuliahan pada dosen maupun mahasiswa.	sop-layanan-jadwal-perkuliahan-1719228269-JgUzoBn5n6.pdf	Bagian 1 Pengertian	Descriptive	Easy	Validated		
38	Jadwal Perkuliahan	Kapan jadwal kuliah harus dibuat dan diumumkan?	Pembuatan dan pengumuman jadwal perkuliahan dilakukan paling lambat 1 bulan sebelum semester berjalan.	sop-layanan-jadwal-perkuliahan-1719228269-JgUzoBn5n6.pdf	Bagian 4 Prosedur	Factoid	Easy	Validated		
39	Jadwal Perkuliahan	Jadwal kuliah bisa dilihat mahasiswa di mana?	Jadwal kuliah dapat langsung dilihat ketika mahasiswa akan memprogram mata kuliah yang akan diampu pada semester tersebut melalui SIAKAD.	sop-layanan-jadwal-perkuliahan-1719228269-JgUzoBn5n6.pdf	Bagian 4.4 Prosedur	Factoid	Easy	Validated		
40	Jadwal Perkuliahan	Siapa yang menyusun draft jadwal kuliah di SIAKAD?	Jurusan menyusun draft jadwal sesuai alokasi mata kuliah dan menginputnya ke SIAKAD.	sop-layanan-jadwal-perkuliahan-1719228269-JgUzoBn5n6.pdf	Bagian 4.3 Prosedur	Factoid	Medium	Validated		
41	Penawaran Mata Kuliah	Penawaran mata kuliah itu maksudnya apa?	Penawaran mata kuliah adalah kegiatan pengisian KRS mahasiswa program sarjana FMIPA UHO yang menentukan kegiatan pendidikan yang akan dilaksanakan mahasiswa pada semester berikutnya, termasuk alih semester.	sop-layanan-penawaran-mata-kuliah-1719021771-T2v0n9mZ04.pdf	Bagian 1 Pengertian	Factoid	Easy	Validated		
42	Penawaran Mata Kuliah	Kalau mau isi KRS, syarat awalnya apa?	Mahasiswa dapat mengisi KRS setelah menyelesaikan kewajiban registrasi ulang dan pembayaran UKT untuk semester yang akan datang pada jadwal yang telah ditentukan.	sop-layanan-penawaran-mata-kuliah-1719021771-T2v0n9mZ04.pdf	Bagian 5.1.1.1 Persyaratan Pengisian KRS	Procedural	Medium	Validated		
43	Penawaran Mata Kuliah	Maksimal dan minimal SKS yang bisa saya ambil dalam satu semester berapa?	Beban studi maksimum tiap semester adalah 24 SKS, sedangkan beban studi minimum adalah 12 SKS, kecuali bagi mahasiswa yang sisa beban studinya kurang dari 12 SKS.	sop-layanan-penawaran-mata-kuliah-1719021771-T2v0n9mZ04.pdf	Bagian 5.1.1.3 Persyaratan Pengisian KRS	Factoid	Easy	Validated		
44	Penawaran Mata Kuliah	Kalau IPS saya 3.01 sampai 4.00, berapa SKS maksimal yang bisa saya programkan?	Mahasiswa dengan IPS 3.01 sampai 4.00 dapat memprogramkan maksimal 24 SKS pada semester berikutnya.	sop-layanan-penawaran-mata-kuliah-1719021771-T2v0n9mZ04.pdf	Bagian 5.1.2.2 Tabel SKS Berdasarkan IPS	Factoid	Easy	Validated		
45	Penawaran Mata Kuliah	Kalau IPS saya 2.75 sampai 3.00, berapa maksimal SKS yang bisa saya ambil?	Mahasiswa dengan IPS 2.75 sampai 3.00 dapat memprogramkan maksimal 22 SKS pada semester berikutnya.	sop-layanan-penawaran-mata-kuliah-1719021771-T2v0n9mZ04.pdf	Bagian 5.1.2.2 Tabel SKS Berdasarkan IPS	Factoid	Easy	Validated		
46	Penawaran Mata Kuliah	Kalau nilai mata kuliah saya C atau D, apakah boleh saya programkan ulang?	Mahasiswa yang lulus mata kuliah dengan nilai C dan D diberi kesempatan untuk memprogramkan kembali pada semester yang akan datang, dengan ketentuan nilai terakhir yang akan diakui.	sop-layanan-penawaran-mata-kuliah-1719021771-T2v0n9mZ04.pdf	Bagian 5.1.2.6 Tata Cara Pengisian KRS	Factoid	Medium	Validated		
